player_id,primary_cluster,prob_cluster_0,prob_cluster_1,prob_cluster_2,prob_cluster_3,prob_cluster_4,prob_cluster_5,prob_cluster_6,prob_cluster_7,prob_cluster_8,prob_cluster_9
710448,9,7.371254760232245e-222,0.0,3.2977056687037114e-248,0.0,2.814362286666504e-25,0.0,1.13269840805904e-103,0.0,0.0,1.0
721152,7,0.0,5.734505379812321e-39,0.0,5.895360062995054e-21,0.0,1.4550310064850888e-222,0.0,1.0,0.0,0.0
814501,8,0.0,9.072551031195594e-166,8.631602024370261e-38,6.40034831247745e-200,5.428679890748042e-211,5.118608709725537e-53,2.1932378813291392e-182,0.0,1.0,1.2118745400495418e-162
857688,5,0.0,8.189234348473042e-71,1.429291269004885e-137,1.511296755561183e-138,1.675573937209819e-281,0.9999999999993534,0.0,5.645696628400441e-216,6.430773881197591e-13,4.270639597191732e-257
1002264,5,0.0,9.216556599330079e-71,5.7918787569804925e-136,1.538340213149188e-138,3.537635540278519e-282,0.9999999999994387,0.0,7.120495007120669e-216,5.622499149480638e-13,3.2335212727576637e-258
18337,1,0.0,1.0,0.0,1.2241647237356609e-60,0.0,1.1747532295799752e-50,0.0,9.234740886857913e-43,3.2306808084625205e-186,0.0
19227,2,0.0,1.561518703e-315,1.0,5.8094350572721145e-279,3.3457000623118523e-139,3.5219448364384004e-169,7.358725882223602e-42,0.0,7.026823742886989e-41,5.529668711477662e-78
29287,1,0.0,1.0,0.0,9.658976123291873e-42,0.0,9.417091922424756e-92,0.0,1.4451106637564174e-15,5.835653325609306e-260,0.0
36483,6,0.0,0.0,2.993252721456012e-43,0.0,6.101672521964788e-85,0.0,1.0,0.0,4.649796716588289e-136,5.392737461573404e-27
36550,7,0.0,8.77724717733215e-45,0.0,2.3810909686838766e-18,0.0,2.395525485804245e-239,0.0,1.0,0.0,0.0
38973,0,1.0,0.0,0.0,0.0,1.4850873364500738e-53,0.0,0.0,0.0,0.0,0.0
39052,5,0.0,2.0300865772699527e-31,4.677952624603604e-257,1.1877930025037147e-107,0.0,1.0,0.0,3.0930950707671594e-137,2.3152724316459346e-59,0.0
43209,5,0.0,1.3287606653442578e-71,1.9656711730237065e-134,4.2208585397541065e-139,2.7256736827298916e-280,0.9999999999936264,0.0,1.5446252670448376e-217,6.3728593095535645e-12,1.5427348709064092e-255
50961,2,0.0,3.4608984681660207e-230,0.9999983295293501,5.365560055861778e-232,9.231569032276318e-165,6.219622301126357e-98,5.565852772000387e-90,0.0,1.6704706497403465e-06,1.1030418077545423e-107
59297,5,0.0,1.2052446876691874e-46,3.031123391436283e-212,4.142186851841856e-121,0.0,1.0,0.0,8.376673510484407e-167,8.774567579742203e-43,1.561193e-318
61098,7,0.0,4.818157055932399e-43,0.0,3.4563272480949737e-19,0.0,2.1947607660030936e-234,0.0,1.0,0.0,0.0
85811,0,1.0,0.0,0.0,0.0,1.9068549442630128e-69,0.0,0.0,0.0,0.0,0.0
165695,1,0.0,0.9999999999999929,0.0,7.967215481368577e-72,0.0,4.940288735635507e-15,0.0,7.438529734763669e-69,2.0811951525575536e-119,0.0
189206,1,0.0,1.0,0.0,1.060542269027238e-70,0.0,2.995034017713444e-20,0.0,6.177100935853333e-65,1.3618268176488135e-128,0.0
332894,2,0.0,0.0,1.0,1.3837197382311247e-298,1.717940044744391e-117,3.0499704088996297e-208,1.3483970077401274e-16,0.0,3.73647929381717e-58,1.6859078859695494e-55
333671,1,0.0,0.9999999999989271,0.0,2.8045307868429324e-39,0.0,2.9046190248557497e-96,0.0,1.0708212768396396e-12,1.9590599458907548e-268,0.0
333676,8,0.0,3.0778154152124647e-91,1.7826354941514505e-98,1.1722781146435382e-151,6.626526970489043e-256,2.203013965761613e-07,1.165140166354e-312,2.6028590913672004e-252,0.999999779698601,4.5759681862871946e-223
333914,3,0.0,6.04226138320456e-240,0.0,1.0,0.0,0.0,0.0,2.7032427566881135e-93,0.0,0.0
334313,2,0.0,0.0,1.0,1.650602190305629e-293,9.953619226499234e-124,1.3746841596794074e-197,1.2507728063257285e-22,0.0,1.1547788862571867e-53,6.248654503567666e-62
458509,3,0.0,8.96561172103964e-168,0.0,1.0,0.0,0.0,0.0,1.2285927986871957e-49,0.0,0.0
606791,6,0.0,0.0,4.398293974641618e-34,0.0,6.199261918182502e-91,2.0799341896e-314,1.0,0.0,4.61109803167029e-121,1.0285487796814991e-31
813580,9,5.752363299139551e-295,0.0,4.185254569770378e-129,0.0,9.420789761289774e-45,0.0,4.787532799605111e-27,0.0,5.811693594103782e-249,1.0
815857,2,0.0,2.7434472431670253e-292,1.0,3.0753099697859232e-267,6.141724572210556e-148,1.0341315612887283e-149,1.692904662323263e-55,0.0,3.6268220769692413e-31,3.3131255500586117e-87
886603,8,0.0,2.4892077036384462e-216,0.06580151170849122,2.1604683315470854e-223,4.3136053231095e-168,7.092179786223511e-87,4.940791844658589e-99,0.0,0.9341984882915111,1.0585396317042275e-111
1002373,8,0.0,9.230153139902719e-102,3.835724649449412e-89,1.2783081181807693e-159,3.292588593515984e-251,1.4824978722637727e-13,4.824831314427703e-293,5.878148405297626e-268,0.9999999999998508,6.12295392465254e-216
1002427,8,0.0,3.3974175948513237e-149,3.192935040724042e-51,1.6234905416057403e-190,2.112262861498028e-223,1.3919257862552836e-42,2.1546942836942635e-211,0.0,1.0,5.183276488678062e-178
27132,5,0.0,6.653149329427962e-22,1.052527585936762e-284,3.82465228754228e-98,0.0,1.0,0.0,3.1627074073211607e-119,1.675268274148927e-69,0.0
34213,7,0.0,1.2234556013539008e-64,0.0,5.325112017756203e-07,0.0,3.1973188489305217e-299,0.0,0.9999994674887983,0.0,0.0
34555,7,0.0,1.6922035903601185e-60,0.0,1.0419526663655988e-09,0.0,2.1597250617589046e-286,0.0,0.9999999989580459,0.0,0.0
36536,1,0.0,0.9999999999999574,0.0,2.0348966823532526e-40,0.0,2.818034404809587e-94,0.0,4.1162973222232536e-14,9.728452042506389e-264,0.0
36600,0,1.0,0.0,0.0,0.0,6.554723167528132e-48,0.0,0.0,0.0,0.0,1.0601273013068813e-307
48638,0,1.0,0.0,0.0,0.0,1.5524743375700022e-49,0.0,0.0,0.0,0.0,1.406690422e-313
49698,2,0.0,4.585e-321,1.0,1.8509216760174825e-281,2.9087626743573875e-137,3.646387252400645e-174,5.0128746794106596e-39,0.0,1.1553932648549447e-42,1.0877504116959074e-75
58762,5,0.0,7.803644466633628e-23,3.792359997597309e-281,4.219918479288237e-99,0.0,1.0,0.0,5.511232964198627e-121,1.586204661969087e-68,0.0
66919,6,0.0,0.0,4.2384193103928853e-69,0.0,2.6880601359691354e-64,0.0,0.9999999999060805,0.0,4.936487030211605e-174,9.391637313695414e-11
70203,1,0.0,0.9999999999999787,0.0,8.921116247023275e-41,0.0,1.8888416621800194e-93,0.0,1.8108165896006316e-14,1.449094044609158e-263,0.0
124344,7,0.0,0.0007765336735122206,0.0,3.1767502679505155e-28,0.0,2.2868125148687522e-124,0.0,0.9992234663264865,1.57561947e-314,0.0
127614,2,0.0,0.0,0.9999999999996874,9.595886522893282e-301,2.1451532994654724e-114,4.1031161190724225e-213,3.137229273926835e-13,0.0,2.3241472169115834e-60,2.119042350963656e-52
332761,6,0.0,0.0,1.617310568065058e-16,0.0,2.6939531319928015e-98,2.618761113174535e-269,1.0,0.0,6.90283469422392e-93,1.5733269528520233e-37
