player_id,passes,carries,goal_threat,receptions,total_actions,team_passes,team_carries,team_goal_threat,team_receptions,team_total_actions,pass_tendency,carry_tendency,goal_threat_tendency,reception_tendency,pass_influence,carry_influence,goal_threat_influence,reception_influence,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,latent_20,latent_21,latent_22,latent_23,latent_24,latent_25,latent_26,latent_27,latent_28,latent_29,latent_30,latent_31
910580,128,114,21,21,284,55880,36410,1837,5522,99649,0.4507042253521127,0.4014084507042254,0.07394366197183098,0.07394366197183098,0.002290622763063708,0.003131007964844823,0.011431682090364725,0.003802969938428106,-47.30124,-47.88153,45.39405,44.934757,47.3001,-48.059624,-46.785133,43.44883,-46.083683,46.288128,-47.78098,-44.95791,-46.37271,-46.596973,-47.300194,-41.292824,-46.50219,44.46118,45.265396,42.24671,46.319134,-47.61065,-45.593277,40.75112,45.004482,47.488083,44.55798,47.721497,47.602184,-43.599453,48.296974,-46.04141
332832,123,90,0,0,213,65263,51260,1969,4994,123486,0.5774647887323944,0.4225352112676056,0.0,0.0,0.0018846819790693042,0.001755754974639095,0.0,0.0,-50.140965,-50.717094,48.294746,47.60003,50.20173,-50.899048,-49.5066,46.13587,-49.124866,48.984608,-50.59243,-47.66766,-49.454277,-49.53337,-50.096275,-43.844006,-49.46543,47.12668,48.15077,44.83231,49.069336,-50.394535,-48.248863,43.197647,47.735775,50.611004,47.480316,50.46168,50.533375,-46.254696,51.250767,-48.86268
1002363,92056,61999,3202,4734,161991,1657744,1113376,60346,86504,2917970,0.5682784846071696,0.38273113938428677,0.019766530239334282,0.0292238457692094,0.055530890173633565,0.05568559049234041,0.05306068339243695,0.05472579302691205,-104.655655,-105.28896,100.51992,99.06733,105.173485,-106.37462,-102.87648,95.8797,-102.31169,102.29649,-104.70605,-98.27026,-102.21775,-102.6764,-103.701775,-90.97476,-101.89064,97.7031,100.03346,93.46905,101.93527,-105.0436,-99.94791,90.07872,99.3746,104.48848,97.98848,104.96899,105.05927,-95.22844,105.8582,-101.980034
775437,51148,41241,1990,2922,97301,654538,527055,26273,37387,1245253,0.525667773198631,0.4238497034973947,0.020451999465575892,0.03003052383839837,0.07814366774732712,0.07824800068304066,0.0757431583755186,0.07815550859924572,-63.499763,-64.703384,61.873146,60.605835,64.36169,-65.22656,-63.187668,58.51571,-62.912663,62.399445,-64.48562,-60.80558,-63.734062,-63.35798,-63.677677,-56.15993,-63.177513,60.28757,61.962032,57.964474,62.546894,-64.216805,-60.889545,55.462315,60.64554,64.505,60.780376,64.15727,64.94516,-59.073444,65.03014,-62.23177
966339,897,555,23,97,1572,131373,89045,5775,6963,233156,0.5706106870229007,0.3530534351145038,0.014631043256997456,0.06170483460559797,0.006827887008746089,0.0062328036386096915,0.003982683982683983,0.01393077696395232,-56.078197,-56.718723,54.002296,53.230865,56.100166,-56.990944,-55.353027,51.589535,-55.00122,54.840256,-56.596043,-53.386257,-55.408924,-55.426647,-56.053097,-49.049255,-55.34907,52.70372,53.91015,50.12721,54.932415,-56.305065,-53.856575,48.339287,53.379707,56.53136,53.1484,56.460846,56.6294,-51.738365,57.23409,-54.578022
333441,76775,57216,2669,3721,140381,843284,628518,29304,40806,1541912,0.546904495622627,0.4075765238885604,0.019012544432651143,0.026506436056161445,0.09104287523538926,0.09103319236680572,0.09107971607971609,0.0911875704553252,-56.663364,-57.672012,55.061394,54.013016,57.248158,-58.046253,-56.32392,52.236,-55.968834,55.6323,-57.527603,-54.181343,-56.57371,-56.34648,-56.77426,-49.96286,-56.236774,53.688717,55.09845,51.43529,55.793262,-57.178204,-54.391247,49.329647,54.064373,57.419613,54.085075,57.189583,57.6575,-52.649036,58.00466,-55.400803
966553,54877,44295,2297,3139,104608,925068,753914,41088,50389,1770459,0.5245965891710003,0.4234379779749159,0.021958167635362496,0.03000726521872132,0.05932212550861126,0.058753385664677936,0.05590440031152648,0.06229534223739308,-106.44771,-106.64719,101.72961,100.16216,106.49551,-107.58714,-104.51299,97.387985,-103.40322,103.928375,-106.39131,-99.78205,-103.463875,-103.80283,-104.98508,-92.08016,-103.06678,99.48384,101.1007,93.835556,103.43579,-106.64108,-101.42506,91.26795,100.76692,105.910904,99.063225,106.58229,106.0158,-96.65442,107.562096,-103.07877
333572,27558,20781,1291,1831,51461,934357,735178,35929,58137,1763601,0.5355123297254232,0.40382036882299216,0.025086959056372787,0.035580342395211906,0.029494079885953657,0.0282666238652408,0.03593197695454925,0.031494573163389925,-93.29266,-93.83646,88.62155,87.66788,92.75911,-94.43425,-91.65146,84.73875,-90.21701,91.16303,-93.65434,-88.2688,-90.42553,-91.00301,-92.70295,-80.917404,-90.8061,87.191635,88.23254,82.01492,90.89928,-93.64629,-89.36175,79.97583,88.17453,92.788025,86.8324,94.05575,93.25997,-84.9865,94.59246,-90.4035
1008949,470,297,14,112,893,77495,65670,2266,5533,150964,0.5263157894736842,0.3325867861142217,0.015677491601343786,0.12541993281075028,0.006064907413381508,0.004522613065326633,0.00617828773168579,0.02024218326405205,-56.44739,-56.97321,54.323307,53.422867,56.2756,-57.220055,-55.35597,51.77443,-55.085922,55.021637,-56.782356,-53.325237,-55.103893,-55.455524,-56.260506,-49.155014,-55.204075,52.83805,53.97966,50.190716,54.984188,-56.555225,-54.14315,48.390686,53.62239,56.590145,53.0389,56.642998,56.598167,-51.641106,57.44897,-55.00447
333929,701,463,48,35,1247,104698,70917,6226,5093,186934,0.56214915797915,0.37129109863672816,0.038492381716118684,0.028067361668003207,0.006695447859557967,0.006528758971755714,0.007709604882749759,0.0068721774985273905,-58.809116,-59.555195,56.69964,56.058186,59.138103,-59.855217,-58.16279,54.22269,-57.658672,57.556,-59.180954,-55.56885,-57.83828,-58.099735,-58.61389,-51.355625,-57.584045,55.107845,56.50192,52.942066,57.5894,-59.065628,-56.524372,50.677288,55.962254,59.056683,55.624157,59.19479,59.249077,-53.941532,59.766945,-57.417538
